id,emptitle,grade,homeownership,issuedate,loanstatus,memberid,purpose,subgrade,term,verificationstatus,annualincome,dti,installment,intrate,loanamount,totalacc,totalpayment
481657,NYC TRANSIT,A,MORTGAGE,10/10/2024,Fully Paid,612600,car,A4,36 months,Not Verified,58000,0.0989,298.65,0.0751,9600,11,10669
664660,TransPac Aviation Academy,A,MORTGAGE,10/11/2024,Fully Paid,849849,car,A1,36 months,Not Verified,90000,0.1035,90.48,0.0542,3000,30,3099
660364,Universal Punch Corp.,A,MORTGAGE,3/11/2024,Fully Paid,844598,car,A3,36 months,Not Verified,81504,0.2488,74.02,0.0692,2400,27,2572
375143,United Natural Food Inc,A,MORTGAGE,5/9/2024,Fully Paid,397032,car,A2,36 months,Not Verified,105000,0.1409,155.96,0.0768,5000,38,5614
737546,EvolveIP,A,MORTGAGE,1/11/2024,Fully Paid,934744,car,A2,36 months,Not Verified,71040,0.0764,90.99,0.0579,3000,25,3117
485006,Prudential,B,MORTGAGE,11/10/2024,Fully Paid,617757,car,B2,36 months,Not Verified,131000,0.2183,362.71,0.1025,11200,34,11655
736278,Quality Carriers,B,MORTGAGE,12/11/2024,Fully Paid,933143,car,B4,36 months,Not Verified,96000,0.2493,136.99,0.1074,4200,49,4931
478569,Northwood Manufacturing,B,MORTGAGE,8/10/2024,Fully Paid,607608,car,B2,36 months,Not Verified,31200,0.1123,118.69,0.1148,3600,13,4256
694032,Cosmo Films,B,MORTGAGE,7/11/2024,Fully Paid,884903,car,B5,36 months,Not Verified,75000,0.1704,98.38,0.1111,3000,29,3157
676230,"Cork, Hill and Company, L.L.C.",B,MORTGAGE,3/11/2024,Fully Paid,864190,car,B2,36 months,Not Verified,54996,0.0539,484.01,0.1,15000,11,17424
652490,San Antonio Fire Department,B,MORTGAGE,10/11/2024,Fully Paid,834488,car,B5,36 months,Not Verified,46800,0.1459,181.17,0.1111,5525,11,5577
707827,Nutricap Labs,B,MORTGAGE,5/11/2024,Fully Paid,900219,car,B3,36 months,Not Verified,150000,0.0465,389.3,0.1037,12000,16,12843
372096,South San Francisco Fire Department,B,MORTGAGE,6/9/2024,Fully Paid,390612,car,B3,36 months,Not Verified,120000,0.1451,82.54,0.1158,2500,27,2975
485338,TSI CORP,B,MORTGAGE,10/10/2024,Fully Paid,618278,car,B1,36 months,Not Verified,41000,0.106,289.9,0.0988,9000,39,10437
497757,Food Lion,B,MORTGAGE,11/10/2024,Fully Paid,638159,car,B3,36 months,Not Verified,45000,0.1,244.2,0.1062,7500,20,8792
296489,Johnson & Johnson,B,MORTGAGE,11/8/2024,Fully Paid,296474,car,B2,36 months,Not Verified,99000,0.0886,578.79,0.0976,18000,24,21247
696646,tyco electronics,C,MORTGAGE,11/11/2024,Fully Paid,887830,car,C4,36 months,Not Verified,57600,0.1429,136.33,0.138,4000,17,4908
732431,Penn United Technologies,C,MORTGAGE,10/11/2024,Fully Paid,928636,car,C1,36 months,Not Verified,44400,0.0492,83.86,0.1268,2500,11,2829
495428,"Hennes Services, Inc.",C,MORTGAGE,3/10/2024,Fully Paid,634592,car,C2,36 months,Not Verified,53000,0.1915,215.97,0.1311,6400,27,7438
737746,Ingles Markets,C,MORTGAGE,11/11/2024,Fully Paid,934984,car,C5,36 months,Not Verified,19200,0.1406,171.31,0.1417,5000,7,6040
472180,"Babcock, Langbein and Co",A,OWN,8/10/2024,Fully Paid,596143,car,A1,36 months,Not Verified,200000,0.0694,494.4,0.0705,16000,26,17719
664738,Amerigas,A,OWN,2/11/2024,Fully Paid,849947,car,A3,36 months,Not Verified,42300,0.1447,61.69,0.0692,2000,14,2142
701662,Rialto Theater,A,OWN,6/11/2024,Fully Paid,893426,car,A2,36 months,Not Verified,14400,0.1517,163.01,0.0579,5375,10,5868
386541,houston Cold Freight,A,OWN,1/9/2024,Fully Paid,418858,car,A1,36 months,Not Verified,48000,0.1207,322.88,0.0737,10400,14,11623
680433,HARPER ELECTRI CONSTRUCTION,A,OWN,3/11/2024,Fully Paid,869236,car,A3,36 months,Not Verified,31577,0.0821,77.11,0.0692,2500,21,2736
381104,Colorado Mountain College,A,OWN,6/9/2024,Fully Paid,409174,car,A1,36 months,Not Verified,29280,0.0725,55.89,0.0737,1800,16,2012
475108,Steel-T Heating Inc.,A,OWN,11/10/2024,Fully Paid,601235,car,A1,36 months,Not Verified,74400,0.0426,231.75,0.0705,7500,31,8014
687289,Garratt Callahan,A,OWN,3/11/2024,Fully Paid,877274,car,A3,36 months,Not Verified,102000,0.1242,215.89,0.0692,7000,21,7567
730669,BNP Paribas,A,OWN,12/11/2024,Fully Paid,926657,car,A5,36 months,Not Verified,100000,0.1464,187.08,0.0766,6000,16,6739
503367,interstate brands corp.,B,OWN,12/10/2024,Fully Paid,647818,car,B2,36 months,Not Verified,58000,0.1128,485.78,0.1025,15000,11,17281
724040,mercy college,B,OWN,4/11/2024,Fully Paid,919104,car,B5,36 months,Not Verified,16800,0.0471,32.8,0.1111,1000,24,1137
713402,UCF,C,OWN,4/11/2024,Fully Paid,906620,car,C2,36 months,Not Verified,49200,0.0402,134.9,0.1306,4000,30,4856
493683,Graphics Packaging,C,OWN,7/10/2024,Fully Paid,631696,car,C5,36 months,Not Verified,50000,0.1409,205.71,0.1422,6000,10,7406
690606,Nicholson MFG,D,OWN,11/11/2024,Fully Paid,881044,car,D4,36 months,Not Verified,36000,0.247,279.88,0.1565,8000,21,9490
391751,McOpCo,D,OWN,10/9/2024,Fully Paid,428101,car,D4,36 months,Not Verified,22000,0.1975,138.77,0.1505,4000,12,4763
372778,Dr. Demartino,D,OWN,2/9/2024,Fully Paid,391952,car,D2,36 months,Not Verified,25000,0.1238,82.52,0.1442,2400,11,2971
471174,ICR,A,OWN,11/10/2024,Fully Paid,594840,car,A1,36 months,Not Verified,48000,0.0085,231.75,0.0705,7500,18,8344
485234,Newark Board of Education,A,RENT,12/10/2024,Fully Paid,618122,car,A5,36 months,Not Verified,52300,0.0376,337.83,0.0788,10800,21,12163
665294,Stainless Sales Corporation,A,RENT,2/11/2024,Fully Paid,850593,car,A2,36 months,Not Verified,110500,0.0968,272.95,0.0579,9000,26,9826
378205,International Education,A,RENT,7/9/2024,Fully Paid,403074,car,A3,36 months,Not Verified,30000,0.008,172.35,0.08,5500,21,6034
386851,Improvement Direct,A,RENT,2/9/2024,Fully Paid,416411,car,A3,36 months,Not Verified,23198,0.0895,188.02,0.08,6000,21,6769
653363,Compusearch,A,RENT,5/11/2024,Fully Paid,835549,car,A4,36 months,Not Verified,70000,0.0427,93.03,0.0729,3000,5,3334
476925,"Impact Technologies, LLC",A,RENT,5/10/2024,Fully Paid,604357,car,A5,36 months,Not Verified,84000,0.0913,190.63,0.0894,6000,4,6691
731269,baystate builders,A,RENT,10/11/2024,Fully Paid,927319,car,A5,36 months,Not Verified,30000,0.072,187.08,0.0766,6000,21,6722
685139,Turner Broadcasting,A,RENT,7/11/2024,Fully Paid,874733,car,A2,36 months,Not Verified,47000,0.1006,121.31,0.0579,4000,13,4344
665503,The Capital Group,A,RENT,9/11/2024,Fully Paid,850858,car,A4,36 months,Not Verified,65000,0.0414,130.25,0.0729,4200,8,4690
687875,tire kingdom,A,RENT,9/11/2024,Fully Paid,877916,car,A2,36 months,Not Verified,60000,0.2162,212.29,0.0579,7000,12,7552
674916,Walmart,A,RENT,9/11/2024,Fully Paid,862606,car,A4,36 months,Not Verified,14400,0.0208,124.04,0.0729,4000,3,4322
663606,somerset county,A,RENT,12/11/2024,Fully Paid,848574,car,A4,36 months,Not Verified,43300,0.051,248.08,0.0729,8000,10,8568
706220,Tops Markets,A,RENT,6/11/2024,Fully Paid,898423,car,A1,36 months,Not Verified,36000,0.0787,92.75,0.0542,3075,27,3339
725495,Abc Supply Co. Inc,A,RENT,12/11/2024,Fully Paid,920749,car,A1,36 months,Not Verified,60000,0.069,150.8,0.0542,5000,19,5216
711860,Mac Brown Excavating,A,RENT,6/11/2024,Fully Paid,904859,car,A5,36 months,Not Verified,40000,0.1923,140.31,0.0766,4500,16,4733
484846,Table Mountain Rancheria,A,RENT,3/10/2024,Fully Paid,602264,car,A3,36 months,Not Verified,60495,0.1343,185.64,0.0714,6000,15,6634
475807,BR Instrument Corp,A,RENT,8/10/2024,Fully Paid,602508,car,A3,36 months,Not Verified,70000,0.0211,156.1,0.0774,5000,16,5620
395902,Lockheed Martin Corp.,A,RENT,1/9/2024,Fully Paid,435726,car,A1,36 months,Not Verified,42000,0.0657,111.77,0.0737,3600,16,4023
394381,Small World Preschool,A,RENT,1/9/2024,Fully Paid,433009,car,A2,36 months,Not Verified,36300,0.0093,124.77,0.0768,4000,5,4507
662938,South Pacific Financial,A,RENT,2/11/2024,Fully Paid,847753,car,A2,36 months,Not Verified,42000,0.1631,194.1,0.0579,6400,12,6803
472505,Hagerman & Company,A,RENT,10/10/2024,Fully Paid,596653,car,A2,36 months,Not Verified,73000,0.0044,248.48,0.074,8000,16,8930
652118,Fire and Life Safety America,A,RENT,8/11/2024,Fully Paid,834068,car,A1,36 months,Not Verified,44000,0.0297,187,0.0542,6200,31,6732
471360,"Tyson Foods, Inc.",A,RENT,2/10/2024,Fully Paid,595085,car,A1,36 months,Not Verified,74500,0.1638,355.35,0.0705,11500,40,12580
740349,State Of California,A,RENT,1/11/2024,Fully Paid,938040,car,A4,36 months,Not Verified,74400,0.1365,108.54,0.0729,3500,12,3522
388737,State of Oregon,A,RENT,10/9/2024,Fully Paid,422393,car,A3,36 months,Not Verified,70500,0.1711,470.05,0.08,15000,16,16559
727311,Marin Community College District,A,RENT,11/11/2024,Fully Paid,922807,car,A5,36 months,Not Verified,53196,0.166,93.54,0.0766,3000,21,3383
732993,Valley Regional Medical Center,A,RENT,12/11/2024,Fully Paid,929259,car,A5,36 months,Not Verified,66000,0.0095,218.26,0.0766,7000,7,7857
388500,Cruses-n-More,A,RENT,4/9/2024,Fully Paid,422006,car,A2,36 months,Not Verified,24000,0,311.91,0.0768,10000,9,11229
395226,supplemental healthcare,A,RENT,6/9/2024,Fully Paid,434505,car,A3,36 months,Not Verified,37050,0.1263,250.69,0.08,8000,23,9025
484033,Ticketmaster,A,RENT,10/10/2024,Fully Paid,616092,car,A4,36 months,Not Verified,58000,0.1186,199.1,0.0751,6400,18,7168
371814,Hawaii Agriculture Research Center,A,RENT,12/9/2024,Fully Paid,390093,car,A4,36 months,Not Verified,60000,0.0178,319.47,0.0932,10000,30,10911
471013,BBVA Compass,A,RENT,3/10/2024,Fully Paid,594630,car,A5,36 months,Not Verified,34000,0.0646,238.29,0.0894,7500,8,8579
370875,mercury insurance,A,RENT,2/9/2024,Fully Paid,388091,car,A5,36 months,Not Verified,39996,0.0918,208.62,0.0963,6500,25,7510
489469,Apple Inc,B,RENT,10/10/2024,Fully Paid,624526,car,B3,36 months,Not Verified,31000,0.077,162.8,0.1062,5000,3,5822
677567,Citrus Health and Rehab,B,RENT,6/11/2024,Fully Paid,865682,car,B2,36 months,Not Verified,116400,0.0228,287.18,0.1,8900,14,10338
681644,Ronald S. Haft,B,RENT,10/11/2024,Fully Paid,870699,car,B3,36 months,Not Verified,63500,0.155,129.77,0.1037,4000,8,4671
495471,"1st Class Sleep Diagnostics, Inc.",B,RENT,7/10/2024,Fully Paid,634654,car,B3,36 months,Not Verified,95000,0.0128,455.84,0.1062,14000,8,16436
502013,Datasoft Inc.,B,RENT,5/10/2024,Fully Paid,645434,car,B4,36 months,Not Verified,75000,0.1054,392.83,0.1099,12000,15,14142
641270,Ring Power,B,RENT,6/11/2024,Fully Paid,820864,car,B2,36 months,Not Verified,49000,0.1435,127.67,0.0925,4000,10,4587
387566,Venue Security Corp,B,RENT,1/9/2024,Fully Paid,420501,car,B5,36 months,Not Verified,36000,0.2033,399.78,0.1221,12000,18,12358
372872,Nationwide Mutual Insurance Company,B,RENT,1/9/2024,Fully Paid,392123,car,B2,36 months,Not Verified,36100,0.014,276.06,0.1126,8400,4,9938
484417,TNT POOL SERVICE,B,RENT,8/10/2024,Fully Paid,616749,car,B4,36 months,Not Verified,48659,0.0683,245.52,0.1099,7500,6,8839
499198,fritz plumbing,B,RENT,12/10/2024,Fully Paid,640599,car,B1,36 months,Not Verified,50000,0.137,306,0.0988,9500,14,10796
668426,Christian Coalition of Florida,B,RENT,8/11/2024,Fully Paid,854631,car,B3,36 months,Not Verified,56000,0.2164,113.55,0.1037,3500,20,3991
508406,TW&C,B,RENT,6/10/2024,Fully Paid,655976,car,B5,36 months,Not Verified,46344,0.1139,115.19,0.1136,3500,15,4109
480331,Military,B,RENT,7/10/2024,Fully Paid,610554,car,B5,36 months,Not Verified,66000,0.1842,83.93,0.1136,2550,19,3021
643114,Houston Fire Dept.,B,RENT,12/11/2024,Fully Paid,823060,car,B2,36 months,Not Verified,60000,0.06,178.74,0.0925,5600,33,6256
719263,Oakley,B,RENT,6/11/2024,Fully Paid,913586,car,B3,36 months,Not Verified,68000,0.1184,275.76,0.1037,8500,11,9927
729952,the severn group,B,RENT,3/11/2024,Fully Paid,925837,car,B2,36 months,Not Verified,52000,0.2165,209.74,0.1,6500,12,7475
384414,Owens-Illinois,C,RENT,10/9/2024,Fully Paid,415486,car,C1,36 months,Not Verified,40000,0.009,301.2,0.1253,9000,12,10716
315595,Georgia Tech,C,RENT,11/8/2024,Fully Paid,315589,car,C4,36 months,Not Verified,78000,0.13,318.72,0.1197,9600,12,11465
734300,"RENO Hardware & Supply, Inc.",C,RENT,1/11/2024,Fully Paid,930805,car,C2,36 months,Not Verified,50000,0.0377,337.23,0.1306,10000,12,12140
505273,centria,C,RENT,4/10/2024,Fully Paid,650989,car,C2,36 months,Not Verified,55000,0.1588,276.71,0.1311,8200,11,9962
665015,Elan Pharma via Bayside Solutions,C,RENT,11/11/2024,Fully Paid,850277,car,C3,36 months,Not Verified,138000,0.0123,152.56,0.1343,4500,15,5520
676423,"Apple, Inc.",C,RENT,10/11/2024,Fully Paid,864390,car,C2,36 months,Not Verified,38000,0.0117,101.17,0.1306,3000,5,3673
398355,"ShatzmanBaker, PC",C,RENT,2/9/2024,Fully Paid,439999,car,C2,36 months,Not Verified,15000,0.1528,67.24,0.1284,2000,15,2184
383228,Vera Reporting,C,RENT,9/9/2024,Fully Paid,413399,car,C4,36 months,Not Verified,54996,0.0559,339.23,0.1347,10000,35,11216
707726,RES Health Care,C,RENT,11/11/2024,Fully Paid,900107,car,C3,36 months,Not Verified,48000,0.005,169.51,0.1343,5000,18,5216
476319,Walgreens,C,RENT,6/10/2024,Fully Paid,603322,car,C3,36 months,Not Verified,38896,0.112,244.26,0.1348,7200,12,8794
483058,Law Offices of Sandy Lipkin,D,RENT,8/10/2024,Fully Paid,614622,car,D2,36 months,Not Verified,90000,0.176,259.85,0.1496,7500,38,9355
486673,Credit Suisse AG,D,RENT,12/10/2024,Fully Paid,620261,car,D1,36 months,Not Verified,75000,0.0186,199.9,0.1459,5800,5,7197
390098,Kevin Leong,D,RENT,9/9/2024,Fully Paid,424846,car,D4,36 months,Not Verified,43004,0.127,190.81,0.1505,5500,24,5816
477572,Sutter health. Eden/Alta bates,E,RENT,10/10/2024,Fully Paid,605844,car,E3,36 months,Not Verified,48000,0.0492,267.56,0.1704,7500,4,9262
488326,"Batten and Shaw, Inc.",E,RENT,10/10/2024,Fully Paid,622716,car,E1,36 months,Not Verified,70200,0.2024,636.8,0.1645,18000,13,22925
487036,NourishLife,E,RENT,1/10/2024,Fully Paid,620789,car,E3,36 months,Not Verified,30000,0.2229,185.89,0.1719,5200,27,6692
489925,barley creek,F,RENT,3/10/2024,Fully Paid,625341,car,F1,36 months,Not Verified,14400,0,90.76,0.183,2500,3,3267
483865,American Medic of Charlotte Co.,D,RENT,10/10/2024,Fully Paid,615829,car,D1,36 months,Not Verified,36000,0.189,121.49,0.1459,3525,22,4389
380683,SAIC,E,RENT,4/9/2024,Fully Paid,408375,car,E3,36 months,Not Verified,144000,0.0435,176.57,0.1632,5000,15,6356
689589,Restoration Heat& Air,B,MORTGAGE,2/11/2024,Fully Paid,879897,car,B1,36 months,Not Verified,28800,0.0771,269.59,0.0963,8400,12,9705
741017,City Of Seattle,B,MORTGAGE,10/11/2024,Fully Paid,938819,car,B4,36 months,Not Verified,81120,0.1843,171.46,0.1149,5200,16,5880
390205,Infinite Systems Services Incorporated,C,MORTGAGE,8/9/2024,Fully Paid,423034,car,C3,36 months,Not Verified,40000,0.0966,303.94,0.1316,9000,15,10941
670357,Northrop Grumman,C,MORTGAGE,9/11/2024,Fully Paid,857007,car,C2,36 months,Not Verified,72000,0.1542,70.82,0.1306,2100,20,2523
387827,SMG Search,A,MORTGAGE,5/9/2024,Charged Off,420926,car,A1,36 months,Source Verified,65004,0.0277,248.37,0.0737,8000,31,1982
695726,WALMART,A,RENT,4/11/2024,Charged Off,886842,car,A3,36 months,Source Verified,30000,0.1892,111.03,0.0692,3600,7,2210
722089,lotus marketing group,B,RENT,3/11/2024,Charged Off,916871,car,B2,36 months,Source Verified,14400,0.1592,141.17,0.1,4375,4,879
708178,RPi Electric,A,MORTGAGE,12/11/2024,Fully Paid,900645,car,A2,36 months,Source Verified,75000,0.149,272.95,0.0579,9000,20,9826
696205,LOCKHEED MARTIN CORPORATION,A,MORTGAGE,1/11/2024,Fully Paid,887348,car,A1,36 months,Source Verified,126000,0.0674,286.52,0.0542,9500,16,10315
670625,A.L.Ayala Roofing co.inc.,A,MORTGAGE,9/11/2024,Fully Paid,857335,car,A1,36 months,Source Verified,69900,0.0436,152.31,0.0542,5050,26,5429
